match_id,season_id,date_match,home_team_id,away_team_id,points_home,points_away,goal_diff_home,goal_diff_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,possession_home,possession_away,shots_on_target_home,shots_on_target_away,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_avg_goal_diff_home,h2h_avg_goals_home_scored,h2h_avg_goals_away_scored,result
4343,6,2023-10-28,27,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,-0.6,1.6,2.2,home_win
4351,6,2023-10-28,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,1.8,0.8,draw
4350,6,2023-10-29,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-0.6,0.4,1.0,away_win
4345,6,2023-10-29,4,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.2,2.0,0.8,draw
4344,6,2023-10-29,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,2.5,2.0,home_win
4348,6,2023-10-29,13,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.2,0.8,0.6,home_win
4349,6,2023-10-29,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-0.4,0.8,1.2,away_win
4357,6,2023-11-04,15,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.4,2.2,0.8,home_win
4352,6,2023-11-04,3,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.4,1.6,1.2,home_win
4353,6,2023-11-04,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.2,1.4,1.2,away_win
4354,6,2023-11-04,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-0.4,0.8,1.2,draw
4355,6,2023-11-04,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-0.4,0.6,1.0,away_win
4358,6,2023-11-04,17,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.2,1.4,0.2,home_win
4360,6,2023-11-04,20,26,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.4,1.0,0.6,home_win
